Sentence,Aspect,Polarity
our waitress did not take our drink order until i finally flagged her down and even then she seemed disinterested in our meal .,drink,neutral
our waitress did not take our drink order until i finally flagged her down and even then she seemed disinterested in our meal .,meal,negative
"wait staff have no room to get to tables because of overflow from bar area , and knocked into the back seats of our table constantly .","wait, staff",negative
"wait staff have no room to get to tables because of overflow from bar area , and knocked into the back seats of our table constantly .","bar, area",neutral
the concoction was thrown away a mere two blocks from the bar .,concoction,negative
the concoction was thrown away a mere two blocks from the bar .,bar,neutral
"had the calamari app , which tgifriday 's makes better , and the scallop ceviche - that is not ceviche !","calamari, app",neutral
"had the calamari app , which tgifriday 's makes better , and the scallop ceviche - that is not ceviche !","scallop, ceviche",negative
"the decor could be a bit better , and if there was a small bar the overall atmosphere would be a bit more inviting ( especially for regulars ) .",decor,negative
"the decor could be a bit better , and if there was a small bar the overall atmosphere would be a bit more inviting ( especially for regulars ) .",bar,negative
"the decor could be a bit better , and if there was a small bar the overall atmosphere would be a bit more inviting ( especially for regulars ) .",atmosphere,positive
"maybe it was the choices the chefs had put on the restaurant week menu , but much of our food was just so - so .",menu,neutral
"maybe it was the choices the chefs had put on the restaurant week menu , but much of our food was just so - so .",food,negative
"i love the shrimp summer role , chicken kabob 's , and all the chicken and shrimp dishes .","shrimp, summer, role",positive
"i love the shrimp summer role , chicken kabob 's , and all the chicken and shrimp dishes .","shrimp, dishes",neutral
i got a steak special that was way overpriced ( $ 12 more then the steak on the menu and no warning from the waitress ) and it was cooked to the wrong temperature .,"steak, special",negative
i got a steak special that was way overpriced ( $ 12 more then the steak on the menu and no warning from the waitress ) and it was cooked to the wrong temperature .,menu,neutral
i got a steak special that was way overpriced ( $ 12 more then the steak on the menu and no warning from the waitress ) and it was cooked to the wrong temperature .,waitress,negative
i got a steak special that was way overpriced ( $ 12 more then the steak on the menu and no warning from the waitress ) and it was cooked to the wrong temperature .,temperature,negative
"if people are late , you could lose your reservation and/or the staff does pressure you to start ordering even if your whole party has nt arrived .",reservation,neutral
"if people are late , you could lose your reservation and/or the staff does pressure you to start ordering even if your whole party has nt arrived .",staff,negative
people will literally spend their entire lunch break waiting and for what - an average fastfood burger .,lunch,neutral
people will literally spend their entire lunch break waiting and for what - an average fastfood burger .,waiting,neutral
people will literally spend their entire lunch break waiting and for what - an average fastfood burger .,burger,negative
"if you like an ecclectic crowd and an overall good time where you and your friends can get together whether it be to eat , drink or just play some good old pictionary ( they provide crayons and a blank white sheet at every table ) , go to the cargo !",time,positive
"if you like an ecclectic crowd and an overall good time where you and your friends can get together whether it be to eat , drink or just play some good old pictionary ( they provide crayons and a blank white sheet at every table ) , go to the cargo !",drink,neutral
"if you like an ecclectic crowd and an overall good time where you and your friends can get together whether it be to eat , drink or just play some good old pictionary ( they provide crayons and a blank white sheet at every table ) , go to the cargo !",sheet,neutral
"now a sleek , cool lounge with refreshing new color , lighting and surfaces , fig 27 mirrors its around the corner sibling , ps450 with a yummy menu of small bites , great drinks and wonderful staff .",lounge,positive
"now a sleek , cool lounge with refreshing new color , lighting and surfaces , fig 27 mirrors its around the corner sibling , ps450 with a yummy menu of small bites , great drinks and wonderful staff .","new, color",positive
"now a sleek , cool lounge with refreshing new color , lighting and surfaces , fig 27 mirrors its around the corner sibling , ps450 with a yummy menu of small bites , great drinks and wonderful staff .",mirrors,neutral
"now a sleek , cool lounge with refreshing new color , lighting and surfaces , fig 27 mirrors its around the corner sibling , ps450 with a yummy menu of small bites , great drinks and wonderful staff .",menu,positive
"now a sleek , cool lounge with refreshing new color , lighting and surfaces , fig 27 mirrors its around the corner sibling , ps450 with a yummy menu of small bites , great drinks and wonderful staff .",drinks,positive
"now a sleek , cool lounge with refreshing new color , lighting and surfaces , fig 27 mirrors its around the corner sibling , ps450 with a yummy menu of small bites , great drinks and wonderful staff .",staff,positive
we would rather pay more prices and expect the better food and service .,prices,negative
we would rather pay more prices and expect the better food and service .,food,positive
"we finally flagged down another server who brought us more to drink , and then they took forever with the check .",server,negative
"we finally flagged down another server who brought us more to drink , and then they took forever with the check .",drink,neutral
when we asked a waiter for an explanation of the long wait with some many empty tables he had no answer so we asked for the manager .,waiter,negative
when we asked a waiter for an explanation of the long wait with some many empty tables he had no answer so we asked for the manager .,tables,neutral
when we asked a waiter for an explanation of the long wait with some many empty tables he had no answer so we asked for the manager .,manager,neutral
went here late night after a a few drinks at my favorite watering spot and was amazed that a place which serves food till 4 can be so damned good .,drinks,neutral
went here late night after a a few drinks at my favorite watering spot and was amazed that a place which serves food till 4 can be so damned good .,spot,positive
"although she was obviously busy , she was helpful in describing certain items on the menu and suggested a duck dish that was out of this world .",menu,neutral
"although she was obviously busy , she was helpful in describing certain items on the menu and suggested a duck dish that was out of this world .","duck, dish",positive
the bartendars were right on top of getting us our wine and setting up free blue cheese dip and chips for us .,wine,neutral
the bartendars were right on top of getting us our wine and setting up free blue cheese dip and chips for us .,bartendars,positive
"the lunch got a little bizarre when we asked the waiter how the joint got it 's name , and he made his hands into cups in reference to placing them on a woman 's breasts and said , no , not this .",lunch,neutral
"the lunch got a little bizarre when we asked the waiter how the joint got it 's name , and he made his hands into cups in reference to placing them on a woman 's breasts and said , no , not this .",waiter,negative
"the waitstaff are surprisingly uninformed and unintelligent , and i say this even though i liked my waiter .",waitstaff,negative
"the waitstaff are surprisingly uninformed and unintelligent , and i say this even though i liked my waiter .",waiter,positive
"right after we finished the main course ( the organic chicken was dry ) , but before we finish drinking the wine the check was placed on the table , and the waitress came back and picked it up three times .","organic, chicken",negative
"right after we finished the main course ( the organic chicken was dry ) , but before we finish drinking the wine the check was placed on the table , and the waitress came back and picked it up three times .",wine,neutral
"right after we finished the main course ( the organic chicken was dry ) , but before we finish drinking the wine the check was placed on the table , and the waitress came back and picked it up three times .",waitress,negative
"the outdoor patio is really nice in good weather , but what ambience the indoors possesses is negated by the noise and the crowds .","outdoor, patio",positive
"the outdoor patio is really nice in good weather , but what ambience the indoors possesses is negated by the noise and the crowds .",ambience,neutral
"the food there 's a trimmed - down version of the regular blue ribbon menu -- all manner of sandwiches , and a solid selection of american main courses -- but the real attraction is the vast , well - edited range of cheese , fish and vegetable portions ( goodies like foie gras terrine aside , the meat selections are disappointingly indistinct ) .",food,neutral
"the food there 's a trimmed - down version of the regular blue ribbon menu -- all manner of sandwiches , and a solid selection of american main courses -- but the real attraction is the vast , well - edited range of cheese , fish and vegetable portions ( goodies like foie gras terrine aside , the meat selections are disappointingly indistinct ) .","blue, ribbon, menu",neutral
"the food there 's a trimmed - down version of the regular blue ribbon menu -- all manner of sandwiches , and a solid selection of american main courses -- but the real attraction is the vast , well - edited range of cheese , fish and vegetable portions ( goodies like foie gras terrine aside , the meat selections are disappointingly indistinct ) .",sandwiches,neutral
"the food there 's a trimmed - down version of the regular blue ribbon menu -- all manner of sandwiches , and a solid selection of american main courses -- but the real attraction is the vast , well - edited range of cheese , fish and vegetable portions ( goodies like foie gras terrine aside , the meat selections are disappointingly indistinct ) .","range, of, cheese",positive
"the food there 's a trimmed - down version of the regular blue ribbon menu -- all manner of sandwiches , and a solid selection of american main courses -- but the real attraction is the vast , well - edited range of cheese , fish and vegetable portions ( goodies like foie gras terrine aside , the meat selections are disappointingly indistinct ) .","vegetable, portions",positive
most of the food has a vinegary flavor ( i think because of the injera ) .,food,neutral
most of the food has a vinegary flavor ( i think because of the injera ) .,flavor,positive
"it does get crowded with plenty of blue shirted cigar smoking wannabes , so make a reservation .","blue, shirted, cigar",negative
"it does get crowded with plenty of blue shirted cigar smoking wannabes , so make a reservation .",reservation,neutral
my bass was even worse - smothered in some kind of tomato sauce that just did not go with fish and the spinach that accompanied the dish was extremely dry and flavorless .,bass,negative
my bass was even worse - smothered in some kind of tomato sauce that just did not go with fish and the spinach that accompanied the dish was extremely dry and flavorless .,"tomato, sauce",neutral
my bass was even worse - smothered in some kind of tomato sauce that just did not go with fish and the spinach that accompanied the dish was extremely dry and flavorless .,fish,negative
my bass was even worse - smothered in some kind of tomato sauce that just did not go with fish and the spinach that accompanied the dish was extremely dry and flavorless .,spinach,negative
my bass was even worse - smothered in some kind of tomato sauce that just did not go with fish and the spinach that accompanied the dish was extremely dry and flavorless .,dish,negative
service was attentive at the beginning but the waiter lost us towards the end and we had to flag them down for the check .,service,positive
service was attentive at the beginning but the waiter lost us towards the end and we had to flag them down for the check .,waiter,negative
"for the price ( $ 8) , the quality of the buffet is great !",price,neutral
"for the price ( $ 8) , the quality of the buffet is great !","quality, of, the, buffet",positive
"last , but not least , when we walked in , most of the clientelle was vietnamese and next to us was a food critic whose review was on the back of the menu .",clientelle,negative
"last , but not least , when we walked in , most of the clientelle was vietnamese and next to us was a food critic whose review was on the back of the menu .",food,neutral
"last , but not least , when we walked in , most of the clientelle was vietnamese and next to us was a food critic whose review was on the back of the menu .",menu,neutral
the bottom line is that mercadito is all style and no substance ( the drinks had far too much salad and seasoning in them .,drinks,neutral
the bottom line is that mercadito is all style and no substance ( the drinks had far too much salad and seasoning in them .,salad,negative
the bottom line is that mercadito is all style and no substance ( the drinks had far too much salad and seasoning in them .,seasoning,negative
"the atmosphere was warm , sexy , and very romantic but the lighting was n't good for reading the menu .",atmosphere,positive
"the atmosphere was warm , sexy , and very romantic but the lighting was n't good for reading the menu .",lighting,negative
"the atmosphere was warm , sexy , and very romantic but the lighting was n't good for reading the menu .",menu,neutral
"after reading the negative sushi reviews , my boyfriend and i opted for their korean fare .",sushi,negative
"after reading the negative sushi reviews , my boyfriend and i opted for their korean fare .","korean, fare",neutral
with all of the kitchen goof - ups ( appetizer coming out before the entree and one entree coming out ten minutes before the other ) you would think that the wait staff would have been more attentive .,appetizer,neutral
with all of the kitchen goof - ups ( appetizer coming out before the entree and one entree coming out ten minutes before the other ) you would think that the wait staff would have been more attentive .,"wait, staff",positive
"one entree from their restaraunt is enough to fill two adults , not to mention that all their dishes are out of this world .",entree,neutral
"one entree from their restaraunt is enough to fill two adults , not to mention that all their dishes are out of this world .",dishes,positive
"when i asked the waitress , she told me they could n't afford the salmon , and had changed the dish ( though not on the menu ) .",waitress,neutral
"when i asked the waitress , she told me they could n't afford the salmon , and had changed the dish ( though not on the menu ) .",salmon,negative
"when i asked the waitress , she told me they could n't afford the salmon , and had changed the dish ( though not on the menu ) .",dish,neutral
"i had reservations for a week but was seated at the worst table in the room , against a wall near the entrance to the kitchen , very claustaphobic .",reservations,neutral
"i had reservations for a week but was seated at the worst table in the room , against a wall near the entrance to the kitchen , very claustaphobic .","table, in, the, room",negative
"the food was a mix of sandwiches , salads and appetizers that were mostly healthy and had a nice brazilian touch .",food,neutral
"the food was a mix of sandwiches , salads and appetizers that were mostly healthy and had a nice brazilian touch .","mix, of, sandwiches",positive
"the food was a mix of sandwiches , salads and appetizers that were mostly healthy and had a nice brazilian touch .",salads,positive
"the food was a mix of sandwiches , salads and appetizers that were mostly healthy and had a nice brazilian touch .",appetizers,positive
my vegetable napoleon was good ; although i first got the veggie burger because the waitress mis - heard and stood my friend up for another 15 minutes of waiting to have it served .,"vegetable, napoleon",positive
my vegetable napoleon was good ; although i first got the veggie burger because the waitress mis - heard and stood my friend up for another 15 minutes of waiting to have it served .,"veggie, burger",neutral
my vegetable napoleon was good ; although i first got the veggie burger because the waitress mis - heard and stood my friend up for another 15 minutes of waiting to have it served .,waiting,negative
"if you 're going to label spicy items on your menu as spicy ( like the buffalo and cajun wraps ) , i think you should go ahead and label all the spicy items as spicy .",menu,neutral
"if you 're going to label spicy items on your menu as spicy ( like the buffalo and cajun wraps ) , i think you should go ahead and label all the spicy items as spicy .","cajun, wraps",positive
"the waitress took our menu away , without taking our food order !",waitress,negative
"the waitress took our menu away , without taking our food order !",menu,neutral
"the waitress took our menu away , without taking our food order !",food,neutral
"great for those hungover mornings when you need a decent pint and delicious , homemade food that will tide you over for the whole day .","homemade, food",positive
"great for those hungover mornings when you need a decent pint and delicious , homemade food that will tide you over for the whole day .",day,neutral
"into our appetizer , an adjacent table became available , and we asked if we could use it , but the waiter said it most likely was being used .",appetizer,neutral
"into our appetizer , an adjacent table became available , and we asked if we could use it , but the waiter said it most likely was being used .",waiter,negative
to make matters worse an hour into our dinner we see a waiter take mojitos to another table .,dinner,neutral
to make matters worse an hour into our dinner we see a waiter take mojitos to another table .,waiter,negative
to make matters worse an hour into our dinner we see a waiter take mojitos to another table .,mojitos,neutral
"we had dinner at becco on a friday night , and were seated in the left bar area , which while pretty crowded , had a manageable noise level .",dinner,neutral
"we had dinner at becco on a friday night , and were seated in the left bar area , which while pretty crowded , had a manageable noise level .","noise, level",negative
"the huge terrace is just so beautiful -- and rumor has it they 'll be tenting the space this fall , so we midtowners can continue to dine outside through the end of the year .",terrace,positive
"the huge terrace is just so beautiful -- and rumor has it they 'll be tenting the space this fall , so we midtowners can continue to dine outside through the end of the year .",space,neutral
"about 10 minutes apart each , so we were all eating cold eggs by the time we got our food .",eggs,negative
"about 10 minutes apart each , so we were all eating cold eggs by the time we got our food .",food,neutral
"after demanding a free round of drinks from a third manager , our party decided to bail on this horrific french import .",drinks,neutral
"after demanding a free round of drinks from a third manager , our party decided to bail on this horrific french import .",manager,negative
"been there a few times for dinner , brunch or just a drink ( the french cosmos are fantastic ) and it just keeps getting better .",dinner,neutral
"been there a few times for dinner , brunch or just a drink ( the french cosmos are fantastic ) and it just keeps getting better .",drink,neutral
"been there a few times for dinner , brunch or just a drink ( the french cosmos are fantastic ) and it just keeps getting better .","french, cosmos",positive
"steak - porterhouse for 2 was served for 1 , overspiced , overpriced and tasted frozen , with a hint of msg dessert - best part of meal , good espresso overall - if food quality matters to you over pretty lights and models handing you towels in the bathroom , i do n't recommend .","msg, dessert",positive
"steak - porterhouse for 2 was served for 1 , overspiced , overpriced and tasted frozen , with a hint of msg dessert - best part of meal , good espresso overall - if food quality matters to you over pretty lights and models handing you towels in the bathroom , i do n't recommend .","food, quality",neutral
they served the salad and the main course together and did n't even bring the dessert menu .,salad,neutral
they served the salad and the main course together and did n't even bring the dessert menu .,"main, course",neutral
they served the salad and the main course together and did n't even bring the dessert menu .,"dessert, menu",negative
this happened while many diners were enjoying their meal and it was rudes .,diners,neutral
this happened while many diners were enjoying their meal and it was rudes .,meal,positive
"the food was good ( and the $ 25 prix fixe made it all that much better ) , but the dinner started to feel like an assembly line when our appetizer arrived 5 minutes after ordering .",food,positive
"the food was good ( and the $ 25 prix fixe made it all that much better ) , but the dinner started to feel like an assembly line when our appetizer arrived 5 minutes after ordering .","prix, fixe",positive
"the food was good ( and the $ 25 prix fixe made it all that much better ) , but the dinner started to feel like an assembly line when our appetizer arrived 5 minutes after ordering .",appetizer,neutral
"we preferred to gaze at our burgers while avoiding having to look at the wait staff , but no complaints .",burgers,neutral
"we preferred to gaze at our burgers while avoiding having to look at the wait staff , but no complaints .","wait, staff",negative
interesting crowd for people watching - old school italian music cranking - friendly italian waitress brought us our wine garlic bread in no time .,music,positive
interesting crowd for people watching - old school italian music cranking - friendly italian waitress brought us our wine garlic bread in no time .,waitress,positive
interesting crowd for people watching - old school italian music cranking - friendly italian waitress brought us our wine garlic bread in no time .,"wine, garlic, bread",neutral
"i did n't even have time to finish my single cocktail and the waiter did n't even ask if we wanted coffee but instead , gave us our check without us even requesting it .",cocktail,neutral
"i did n't even have time to finish my single cocktail and the waiter did n't even ask if we wanted coffee but instead , gave us our check without us even requesting it .",waiter,negative
"i did n't even have time to finish my single cocktail and the waiter did n't even ask if we wanted coffee but instead , gave us our check without us even requesting it .",coffee,neutral
all the food was carefully prepared and the presentation was a cut above .,food,positive
all the food was carefully prepared and the presentation was a cut above .,presentation,neutral
"they have possibly the worst service in new york i have waited until the waiter has finished his paper , begged for water and waited over an hour for my meal .",service,negative
"they have possibly the worst service in new york i have waited until the waiter has finished his paper , begged for water and waited over an hour for my meal .",waiter,negative
"they have possibly the worst service in new york i have waited until the waiter has finished his paper , begged for water and waited over an hour for my meal .",water,neutral
"they have possibly the worst service in new york i have waited until the waiter has finished his paper , begged for water and waited over an hour for my meal .",meal,neutral
"when my ( pregnant ) friend asked about a non - alcoholic version of a drink , the answer was simply no , with no further suggestions .",drink,neutral
"when my ( pregnant ) friend asked about a non - alcoholic version of a drink , the answer was simply no , with no further suggestions .",answer,negative
i think friends coffee shop makes great food the service is great and they are very poilte i think that they should open more because there the best food store i ever ate from the food is addicting and you ca nt stop eating because it so delious .,coffee,neutral
i think friends coffee shop makes great food the service is great and they are very poilte i think that they should open more because there the best food store i ever ate from the food is addicting and you ca nt stop eating because it so delious .,service,positive
"from beginning appetizers , the scallops were incredible , to the delicious chocolate souffle with rasberry mint sorbet , we were delighted by the taste sensations .","beginning, appetizers",neutral
"from beginning appetizers , the scallops were incredible , to the delicious chocolate souffle with rasberry mint sorbet , we were delighted by the taste sensations .",scallops,positive
"from beginning appetizers , the scallops were incredible , to the delicious chocolate souffle with rasberry mint sorbet , we were delighted by the taste sensations .","chocolate, souffle, with, rasberry, mint, sorbet",positive
"the waiter did n't know the menu , did n't bring more than one item at a time , and put some orders in twice with the kitchen .",waiter,negative
"the waiter did n't know the menu , did n't bring more than one item at a time , and put some orders in twice with the kitchen .",menu,neutral
"the waiter did n't know the menu , did n't bring more than one item at a time , and put some orders in twice with the kitchen .",kitchen,neutral
"deserts were slow to order as waiters passed us twice , even with the menus closed .",deserts,negative
"deserts were slow to order as waiters passed us twice , even with the menus closed .",waiters,negative
"deserts were slow to order as waiters passed us twice , even with the menus closed .","menus, closed",neutral
they are negligent in alerting customers when an order is ready - you could end up waiting for half an hour while your food is sitting on their counter getting cold .,waiting,neutral
they are negligent in alerting customers when an order is ready - you could end up waiting for half an hour while your food is sitting on their counter getting cold .,food,negative
they are negligent in alerting customers when an order is ready - you could end up waiting for half an hour while your food is sitting on their counter getting cold .,counter,neutral
"i was at son cubano a few months ago , and although i was only at the bar ( without prior reservations which are a must ) , i had an awesome time .",bar,neutral
"i was at son cubano a few months ago , and although i was only at the bar ( without prior reservations which are a must ) , i had an awesome time .",reservations,neutral
"i was at son cubano a few months ago , and although i was only at the bar ( without prior reservations which are a must ) , i had an awesome time .",time,positive
the busboys were more helpful than my server who then made me wait at the bar ( very crowded with what appeared to be tasty margaritas ) to pay the bartender - what 's that about ?,busboys,positive
the busboys were more helpful than my server who then made me wait at the bar ( very crowded with what appeared to be tasty margaritas ) to pay the bartender - what 's that about ?,server,negative
the busboys were more helpful than my server who then made me wait at the bar ( very crowded with what appeared to be tasty margaritas ) to pay the bartender - what 's that about ?,bartender,negative
there were a lot of scensters who could nt afford dinner hanging in the waiting area so we got bumped around a lot .,dinner,negative
there were a lot of scensters who could nt afford dinner hanging in the waiting area so we got bumped around a lot .,"waiting, area",neutral
"our food took forever , the bartender seemed more interested in refilling drinks for the regulars and never even brought bread or water , as requested .",food,negative
"our food took forever , the bartender seemed more interested in refilling drinks for the regulars and never even brought bread or water , as requested .",bartender,negative
"our food took forever , the bartender seemed more interested in refilling drinks for the regulars and never even brought bread or water , as requested .",drinks,neutral
"our food took forever , the bartender seemed more interested in refilling drinks for the regulars and never even brought bread or water , as requested .",bread,neutral
"renderings of mythical creatures festoon its walls , and heavily tattooed waitresses pick up orders from the open kitchen and chat at the small bar .",waitresses,negative
"renderings of mythical creatures festoon its walls , and heavily tattooed waitresses pick up orders from the open kitchen and chat at the small bar .","open, kitchen",neutral
"renderings of mythical creatures festoon its walls , and heavily tattooed waitresses pick up orders from the open kitchen and chat at the small bar .",bar,negative
"the staff even went out of their way to print up menus without prices at my request , since the dinner party was my treat .",staff,negative
"the staff even went out of their way to print up menus without prices at my request , since the dinner party was my treat .",menus,neutral
"the staff even went out of their way to print up menus without prices at my request , since the dinner party was my treat .",dinner,neutral
"despite reservations , we ended up waiting for 1hr+",reservations,neutral
"despite reservations , we ended up waiting for 1hr+",waiting,negative
"the mussels marina are a must for an appetizer , although you ca n't go wrong with the stuffed artichoke either .","mussels, marina",positive
"the mussels marina are a must for an appetizer , although you ca n't go wrong with the stuffed artichoke either .",appetizer,neutral
"the waiter did n't recommen any special for the night , did n't come back to the table to check if everything is okay , did n't even offer me the dessert menu at the end .",waiter,negative
"the waiter did n't recommen any special for the night , did n't come back to the table to check if everything is okay , did n't even offer me the dessert menu at the end .",table,neutral
"the waiter did n't recommen any special for the night , did n't come back to the table to check if everything is okay , did n't even offer me the dessert menu at the end .","dessert, menu",neutral
"the trick to the tomato and onions is ask for it light on the onions , heavy on the tomatoes , order steak for one less person than you have in your party and if the steak is too rare , you can cook the individual pieces more by placing them on the platter around the edges .","tomato, and, onions",neutral
"the trick to the tomato and onions is ask for it light on the onions , heavy on the tomatoes , order steak for one less person than you have in your party and if the steak is too rare , you can cook the individual pieces more by placing them on the platter around the edges .",tomatoes,positive
"my party felt like we got put in a dining room for tourist , which must have been the penalty box area for the disgruntled wait staff on duty .","dining, room",neutral
"my party felt like we got put in a dining room for tourist , which must have been the penalty box area for the disgruntled wait staff on duty .","wait, staff",negative
then the manager gave us lemon juice instead of ceasar dressing for a ceasar salad which ruined the salad .,manager,negative
then the manager gave us lemon juice instead of ceasar dressing for a ceasar salad which ruined the salad .,"lemon, juice",neutral
then the manager gave us lemon juice instead of ceasar dressing for a ceasar salad which ruined the salad .,"ceasar, dressing",neutral
"the scene you wo n't blink twice at the restaurant 's spartan decor : as the packed crowds and critics ' praises wallpapering the front wall agree , this longtime local favorite is truly one of the area 's most exquisite finds .",scene,neutral
"the scene you wo n't blink twice at the restaurant 's spartan decor : as the packed crowds and critics ' praises wallpapering the front wall agree , this longtime local favorite is truly one of the area 's most exquisite finds .",decor,positive
"but on a recent sunday brunch excursion , i was greeted by a uniformly unfriendly staff - starting with the hostess and extending to foul faced wait staff .",brunch,neutral
"but on a recent sunday brunch excursion , i was greeted by a uniformly unfriendly staff - starting with the hostess and extending to foul faced wait staff .",hostess,negative
"but on a recent sunday brunch excursion , i was greeted by a uniformly unfriendly staff - starting with the hostess and extending to foul faced wait staff .","wait, staff",negative
"our waiter brought out three main courses , but the fourth was n't ready so we had to wait for 10 minutes for the last dish to arrive , but they were very nice and gave us free red pepper hummus while we waited .",waiter,neutral
"our waiter brought out three main courses , but the fourth was n't ready so we had to wait for 10 minutes for the last dish to arrive , but they were very nice and gave us free red pepper hummus while we waited .","main, courses",neutral
"our waiter brought out three main courses , but the fourth was n't ready so we had to wait for 10 minutes for the last dish to arrive , but they were very nice and gave us free red pepper hummus while we waited .",dish,neutral
"our waiter brought out three main courses , but the fourth was n't ready so we had to wait for 10 minutes for the last dish to arrive , but they were very nice and gave us free red pepper hummus while we waited .","red, pepper, hummus",positive
had a mouthwatering sardinian stuffed squid and a catfish fiumarola from rome ( think was capers and anchovies sauce ) .,"sardinian, stuffed, squid",positive
had a mouthwatering sardinian stuffed squid and a catfish fiumarola from rome ( think was capers and anchovies sauce ) .,catfish,neutral
had a mouthwatering sardinian stuffed squid and a catfish fiumarola from rome ( think was capers and anchovies sauce ) .,sauce,neutral
"the service was great -- my glass was refilled without having to ask , we were greeted by the manager that day to ask how our food was .",service,positive
"the service was great -- my glass was refilled without having to ask , we were greeted by the manager that day to ask how our food was .",manager,positive
"the service was great -- my glass was refilled without having to ask , we were greeted by the manager that day to ask how our food was .",food,neutral
got the guac but no drinks until it was all gone ( approximately 20 minutes later ) .,guac,neutral
got the guac but no drinks until it was all gone ( approximately 20 minutes later ) .,drinks,negative
"although when i went to eat dinner at bombay talkie on a crazy busy night , my waiter was extremely helpful through the menu , polite and polished .",dinner,neutral
"although when i went to eat dinner at bombay talkie on a crazy busy night , my waiter was extremely helpful through the menu , polite and polished .",waiter,positive
"although when i went to eat dinner at bombay talkie on a crazy busy night , my waiter was extremely helpful through the menu , polite and polished .",menu,neutral
"zippier palates share sesame - fried lobster spring rolls , shrimp dumplings with citrus soy , and inventive maki , like the smoky and sweet filet mignon - pineapple variety .","lobster, spring, rolls",neutral
"zippier palates share sesame - fried lobster spring rolls , shrimp dumplings with citrus soy , and inventive maki , like the smoky and sweet filet mignon - pineapple variety .","shrimp, dumplings, with, citrus, soy",neutral
"zippier palates share sesame - fried lobster spring rolls , shrimp dumplings with citrus soy , and inventive maki , like the smoky and sweet filet mignon - pineapple variety .",smoky,neutral
"zippier palates share sesame - fried lobster spring rolls , shrimp dumplings with citrus soy , and inventive maki , like the smoky and sweet filet mignon - pineapple variety .","filet, mignon, -, pineapple, variety",positive
"towards the end of our meal , a server came out , apparently our orders had been double - filled .",meal,neutral
"towards the end of our meal , a server came out , apparently our orders had been double - filled .",server,negative
this place would be so much better served by being run by a group that actually understands customer service .,served,positive
this place would be so much better served by being run by a group that actually understands customer service .,service,negative
only thing we did n't like was the steamed chocolate cake with mint ice creama group of the 4 of us did not want to finish this dessert !,"steamed, chocolate, cake, with, mint, ice",negative
only thing we did n't like was the steamed chocolate cake with mint ice creama group of the 4 of us did not want to finish this dessert !,dessert,neutral
the situation was verified by taking 3 dishes that were over an hour late off the bill and free desserts and coffee but the experience left most of us never wanting to go to the supposed hip cool 66 ever again .,dishes,neutral
the situation was verified by taking 3 dishes that were over an hour late off the bill and free desserts and coffee but the experience left most of us never wanting to go to the supposed hip cool 66 ever again .,bill,neutral
the situation was verified by taking 3 dishes that were over an hour late off the bill and free desserts and coffee but the experience left most of us never wanting to go to the supposed hip cool 66 ever again .,desserts,positive
"the perfect meal ; delux combo raw bar as an appetizer , king crab as your entree .",meal,positive
"the perfect meal ; delux combo raw bar as an appetizer , king crab as your entree .",bar,neutral
"the perfect meal ; delux combo raw bar as an appetizer , king crab as your entree .","king, crab",neutral
"i went there about three times , one for dinner on a sunday evening which is a salsa night after dinning , the service was slow and a bit rude , the plates average some shrimp octopus and empanadas .",dinner,neutral
"i went there about three times , one for dinner on a sunday evening which is a salsa night after dinning , the service was slow and a bit rude , the plates average some shrimp octopus and empanadas .",service,negative
"i went there about three times , one for dinner on a sunday evening which is a salsa night after dinning , the service was slow and a bit rude , the plates average some shrimp octopus and empanadas .","shrimp, octopus",neutral
"if you do n't care about the wait staff as long as they bring you your drinks and dinner , then go to opa .","wait, staff",negative
"if you do n't care about the wait staff as long as they bring you your drinks and dinner , then go to opa .",drinks,neutral
"if you do n't care about the wait staff as long as they bring you your drinks and dinner , then go to opa .",dinner,neutral
"food was average , the appetizers were better than the main courses .",appetizers,positive
"food was average , the appetizers were better than the main courses .","main, courses",neutral
"sure the food was - as always - very good , but we were quite outrageous about the waitress .",food,positive
"sure the food was - as always - very good , but we were quite outrageous about the waitress .",waitress,negative
"i go there to eat dinner , brunch , or to just drink and hang out at the bar with the friendly staff .",dinner,neutral
"i go there to eat dinner , brunch , or to just drink and hang out at the bar with the friendly staff .",drink,neutral
"i go there to eat dinner , brunch , or to just drink and hang out at the bar with the friendly staff .",bar,neutral
"i go there to eat dinner , brunch , or to just drink and hang out at the bar with the friendly staff .",staff,positive
my husband and i had dinner here last week and the food was very good .,dinner,neutral
my husband and i had dinner here last week and the food was very good .,food,positive
"bouley has done an excellent job creating this dining establishment with almost a museum sense , the artworks on the wall have a very klimty feeling and the gold ceiling completes the rest of the experience .","dining, establishment",neutral
"bouley has done an excellent job creating this dining establishment with almost a museum sense , the artworks on the wall have a very klimty feeling and the gold ceiling completes the rest of the experience .",artworks,positive
"bouley has done an excellent job creating this dining establishment with almost a museum sense , the artworks on the wall have a very klimty feeling and the gold ceiling completes the rest of the experience .","gold, ceiling",positive
"the service was polite , friendly and prompt , the characters walking around entertained the kids but were nt intrusive to our meal .",service,positive
"the service was polite , friendly and prompt , the characters walking around entertained the kids but were nt intrusive to our meal .",meal,neutral
"includes a diverse array of entrees ranging from boar ( prepared in your choice of either the french or asian tradition ) , mussels , or pad thai that grace the menu all at once , each one prepared in a distinctly different and delicate sauce .",entrees,positive
